Year_Drafted,Player,Year1,Team1,wins1,Year2,Team2,wins2,Year3,Team3,wins3,Year4,Team4,wins4,Year5,Team5,wins5,Year6,Team6,wins6,Year7,Team7,wins7,Year8,Team8,wins8,Year9,Team9,wins9,Year10,Team10,wins10
2014,Andrew Wiggins,2014-15,MIN,16,2015-16,MIN,29,,,,,,,,,,,,,,,,,,,,,,,,
2014,Jabari Parker,2014-15,MIL,41,2015-16,MIL,33,,,,,,,,,,,,,,,,,,,,,,,,
2014,Joel Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Aaron Gordon,2014-15,ORL,25,2015-16,ORL,35,,,,,,,,,,,,,,,,,,,,,,,,
2014,Dante Exum,2014-15,UTA,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Marcus Smart,2014-15,BOS,40,2015-16,BOS,48,,,,,,,,,,,,,,,,,,,,,,,,
2014,Julius Randle,2014-15,LAL,21,2015-16,LAL,17,,,,,,,,,,,,,,,,,,,,,,,,
2013,Anthony Bennett,2013-14,CLE,33,2014-15,MIN,16,2015-16,TOR,56,,,,,,,,,,,,,,,,,,,,,
2013,Victor Oladipo,2013-14,ORL,23,2014-15,ORL,25,2015-16,ORL,35,,,,,,,,,,,,,,,,,,,,,
2013,Otto Porter,2013-14,WAS,44,2014-15,WAS,46,2015-16,WAS,41,,,,,,,,,,,,,,,,,,,,,
2013,Cody Zeller,2013-14,CHA,43,2014-15,CHO,33,2015-16,CHO,48,,,,,,,,,,,,,,,,,,,,,
2013,Alex Len,2013-14,PHO,48,2014-15,PHO,39,2015-16,PHO,23,,,,,,,,,,,,,,,,,,,,,
2013,Nerlens Noel,2014-15,PHI,18,2015-16,PHI,10,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ben McLemore,2013-14,SAC,28,2014-15,SAC,29,2015-16,SAC,33,,,,,,,,,,,,,,,,,,,,,
