Team,Year,3PA,3P%,2PA,2P%,O3PA,O3P%,O2PA,O2P%
Golden State Warriors,2015,2217,0.398,4920,0.514,1757,0.337,5327,0.458
San Antonio Spurs,2014,1757,0.397,5087,0.517,1500,0.353,5476,0.469
Miami Heat,2013,1809,0.396,4539,0.536,1783,0.35,4850,0.473
Miami Heat,2012,1030,0.359,4182,0.496,1318,0.363,3949,0.457
Dallas Mavericks,2011,1768,0.365,4695,0.516,1480,0.343,5176,0.481
Los Angeles Lakers,2010,1562,0.341,5313,0.492,1585,0.328,5255,0.481
Los Angeles Lakers,2009,1516,0.361,5465,0.505,1700,0.345,5125,0.481
Boston Celtics,2008,1564,0.381,4722,0.506,1535,0.316,4806,0.452
San Antonio Spurs,2007,1561,0.381,4767,0.504,1101,0.334,5362,0.465
Miami Heat,2006,1441,0.345,4914,0.517,1359,0.361,5170,0.461
San Antonio Spurs,2005,1395,0.363,5055,0.478,881,0.367,5478,0.436
Detroit Pistons,2004,968,0.344,5346,0.452,1180,0.302,5198,0.438
San Antonio Spurs,2003,1270,0.354,5027,0.489,1043,0.339,5660,0.443
Los Angeles Lakers,2002,1439,0.354,5401,0.489,1259,0.317,5518,0.448
Los Angeles Lakers,2001,1275,0.344,5410,0.494,1168,0.354,5647,0.455
Los Angeles Lakers,2000,1047,0.329,5789,0.482,1142,0.326,5682,0.434
San Antonio Spurs,1999,521,0.33,3291,0.476,559,0.304,3502,0.417
Chicago Bulls,1998,962,0.323,5839,0.471,1022,0.322,5461,0.452
Chicago Bulls,1997,1403,0.373,5520,0.499,1408,0.335,5245,0.463
Chicago Bulls,1996,1349,0.403,5543,0.496,1249,0.35,5179,0.472
Houston Rockets,1995,1757,0.368,4822,0.521,1345,0.376,5716,0.472
Houston Rockets,1994,1285,0.334,5448,0.508,841,0.306,6325,0.458
Chicago Bulls,1993,669,0.365,6536,0.494,685,0.361,5937,0.487
Chicago Bulls,1992,454,0.304,6714,0.522,657,0.332,6313,0.473
Chicago Bulls,1991,424,0.366,6701,0.519,626,0.304,6258,0.492
Detroit Pistons,1990,541,0.327,6439,0.49,558,0.333,6251,0.457
Detroit Pistons,1989,400,0.3,6479,0.505,554,0.285,6468,0.461
Los Angeles Lakers,1988,478,0.297,6600,0.52,439,0.298,7028,0.487
Los Angeles Lakers,1987,447,0.367,6798,0.526,431,0.283,7100,0.479
Boston Celtics,1986,393,0.351,6919,0.517,304,0.27,7172,0.469
Los Angeles Lakers,1985,295,0.305,6959,0.555,297,0.283,7342,0.488
Boston Celtics,1984,229,0.24,7006,0.508,219,0.324,7153,0.474
Philadelphia 76ers,1983,109,0.229,7103,0.503,249,0.217,7221,0.469
Los Angeles Lakers,1982,94,0.138,7491,0.521,213,0.366,7466,0.491
Boston Celtics,1981,241,0.27,6858,0.513,139,0.216,7157,0.467
Los Angeles Lakers,1980,100,0.2,7268,0.534,274,0.285,7647,0.477
Seattle SuperSonics,1979,None,None,7484,0.468,None,None,7509,0.463
Washington Bullets,1978,None,None,7772,0.461,None,None,8065,0.467
Portland Trail Blazers,1977,None,None,7537,0.481,None,None,7404,0.46
Boston Celtics,1976,None,None,7901,0.446,None,None,7772,0.449
New York Nets,1976,372,0.298,7776,0.468,362,0.298,7475,0.461
Golden State Warriors,1975,None,None,7981,0.465,None,None,7628,0.456
Kentucky Colonels,1975,191,0.283,7594,0.484,315,0.314,7372,0.451
Boston Celtics,1974,None,None,7969,0.456,None,None,8047,0.443
New York Nets,1974,256,0.316,7782,0.485,387,0.284,7422,0.454
New York Knicks,1973,None,None,7764,0.467,None,None,7561,0.435
Indiana Pacers,1973,551,0.312,7397,0.473,284,0.275,7923,0.462
Los Angeles Lakers,1972,None,None,7998,0.49,None,None,8553,0.432
Indiana Pacers,1972,750,0.293,7055,0.479,369,0.282,7814,0.463
Milwaukee Bucks,1971,None,None,7803,0.509,None,None,8224,0.424
Utah Stars,1971,676,0.297,7733,0.464,631,0.287,7847,0.442
New York Knicks,1970,None,None,7975,0.477,None,None,None,None
Indiana Pacers,1970,784,0.274,7112,0.475,507,0.247,7674,0.449
Boston Celtics,1969,None,None,8316,0.431,None,None,None,None
Oakland Oaks,1969,120,0.242,7543,0.475,581,0.294,7578,0.438
Boston Celtics,1968,None,None,8371,0.44,None,None,None,None
Pittsburgh Pipers,1968,790,0.308,6738,0.443,338,0.251,7205,0.437
Philadelphia 76ers,1967,None,None,8103,0.483,None,None,None,None
Boston Celtics,1966,None,None,8367,0.417,None,None,None,None
Boston Celtics,1965,None,None,8609,0.414,None,None,None,None
Boston Celtics,1964,None,None,8770,0.413,None,None,None,None
Boston Celtics,1963,None,None,8779,0.427,None,None,None,None
Boston Celtics,1962,None,None,9109,0.423,None,None,None,None
Boston Celtics,1961,None,None,9295,0.398,None,None,None,None
Boston Celtics,1960,None,None,8971,0.417,None,None,None,None
Boston Celtics,1959,None,None,8116,0.395,None,None,None,None
St. Louis Hawks,1958,None,None,7162,0.388,None,None,None,None
Boston Celtics,1957,None,None,7326,0.383,None,None,None,None
Philadelphia Warriors,1956,None,None,6437,0.41,None,None,None,None
Syracuse Nationals,1955,None,None,6343,0.372,None,None,None,None
Minneapolis Lakers,1954,None,None,5803,0.376,None,None,None,None
Minneapolis Lakers,1953,None,None,5559,0.39,None,None,None,None
Minneapolis Lakers,1952,None,None,5733,0.367,None,None,None,None
Rochester Royals,1951,None,None,5377,0.378,None,None,None,None
Minneapolis Lakers,1950,None,None,5832,0.367,None,None,None,None
Minneapolis Lakers,1949,None,None,5146,0.366,None,None,None,None
Baltimore Bullets,1948,None,None,4283,0.301,None,None,None,None
Philadelphia Warriors,1947,None,None,5384,0.28,None,None,None,None
